Ticker;Ticker BBG;Name
XEL;XEL UN Equity;Xcel Energy Inc
COL;COL UN Equity;Rockwell Collins Inc
FTI;FTI UN Equity;TechnipFMC PLC
ZBH;ZBH UN Equity;Zimmer Biomet Holdings Inc
CBRE;CBRE UN Equity;CBRE Group Inc
MA;MA UN Equity;Mastercard Inc
GME;GME UN Equity;GameStop Corp
FIS;FIS UN Equity;Fidelity National Information Services I
WYNN;WYNN UW Equity;Wynn Resorts Ltd
SHLDQ;SHLDQ UW Equity;Sears Holdings Corp
NRG;NRG UN Equity;NRG Energy Inc
GNW;GNW UN Equity;Genworth Financial Inc
TPC;TPC UN Equity;Tutor Perini Corp
TDC;TDC UN Equity;Teradata Corp
MOS;MOS UN Equity;Mosaic Co/The
EXPE;EXPE UW Equity;Expedia Group Inc
DISCA;DISCA UW Equity;Discovery Inc
CF;CF UN Equity;CF Industries Holdings Inc
VIAB;VIAB UW Equity;Viacom Inc
LDOS;LDOS UN Equity;Leidos Holdings Inc
1539941D;1539941D UN Equity;Spectra Energy Corp
FSLR;FSLR UW Equity;First Solar Inc
EBF;EBF UN Equity;Ennis Inc
TRIP;TRIP UW Equity;TripAdvisor Inc
KDP;KDP UN Equity;Keurig Dr Pepper Inc
V;V UN Equity;Visa Inc
FARM;FARM UW Equity;Farmer Bros Co
LC;LC UN Equity;LendingClub Corp
XYL;XYL UN Equity;Xylem Inc/NY
MPC;MPC UN Equity;Marathon Petroleum Corp
WPX;WPX UN Equity;WPX Energy Inc
NRE;NRE UN Equity;NorthStar Realty Europe Corp
SNC;SNC UW Equity;State National Cos Inc
CSR;CSR UN Equity;Centerspace
XOMA;XOMA UQ Equity;XOMA Corp
VIRT;VIRT UW Equity;Virtu Financial Inc
ETSY;ETSY UW Equity;Etsy Inc
PRTY;PRTY UN Equity;Party City Holdco Inc
CUB;CUB UN Equity;Cubic Corp
CACI;CACI UN Equity;CACI International Inc
RPTP;RPTP UQ Equity;Horizon Pharmaceutical LLC
HALO;HALO UW Equity;Halozyme Therapeutics Inc
LVNTA;LVNTA UW Equity;Liberty Ventures
Y;Y UN Equity;Alleghany Corp
REX;REX UN Equity;REX American Resources Corp
VGR;VGR UN Equity;Vector Group Ltd
CDE;CDE UN Equity;Coeur Mining Inc
CRD/B;CRD/B UN Equity;Crawford & Co
AMBR;AMBR UN Equity;Amber Road Inc
EDE;EDE UN Equity;Empire District Electric Co/The
PRLB;PRLB UN Equity;Proto Labs Inc
EQC;EQC UN Equity;Equity Commonwealth
HL;HL UN Equity;Hecla Mining Co
HXL;HXL UN Equity;Hexcel Corp
NHI;NHI UN Equity;National Health Investors Inc
LJPC;LJPC UR Equity;La Jolla Pharmaceutical Co
RES;RES UN Equity;RPC Inc
RPT;RPT UN Equity;RPT Realty
STE;STE UN Equity;STERIS PLC
SFE;SFE UN Equity;Safeguard Scientifics Inc
SPA;SPA UN Equity;Sparton Corp
KN;KN UN Equity;Knowles Corp
TRR;TRR UN Equity;TRC Cos Inc
TWIN;TWIN UW Equity;Twin Disc Inc
WMK;WMK UN Equity;Weis Markets Inc
WLBAQ;WLBAQ UQ Equity;Westmoreland Coal Co
ABMD;ABMD UW Equity;ABIOMED Inc
ALKS;ALKS UW Equity;Alkermes PLC
ATRI;ATRI UW Equity;Atrion Corp
AMAG;AMAG UW Equity;AMAG Pharmaceuticals Inc
AVHI;AVHI UW Equity;AV Homes Inc
VCRA;VCRA UN Equity;Vocera Communications Inc
BOKF;BOKF UW Equity;BOK Financial Corp
BPOP;BPOP UW Equity;Popular Inc
LRMR;LRMR UW Equity;Larimar Therapeutics Inc
BSTC;BSTC UQ Equity;BioSpecifics Technologies Corp
LCTX;LCTX UA Equity;Lineage Cell Therapeutics Inc
AJX;AJX UN Equity;Great Ajax Corp
PTVCB;PTVCB UQ Equity;Protective Insurance Corp
GLOB;GLOB UN Equity;Globant SA
CACC;CACC UW Equity;Credit Acceptance Corp
WRK;WRK UN Equity;Westrock Co
ISLE;ISLE UW Equity;Isle of Capri Casinos Inc
CAMP;CAMP UW Equity;CalAmp Corp
NEWR;NEWR UN Equity;New Relic Inc
WK;WK UN Equity;Workiva Inc
RDNT;RDNT UQ Equity;RadNet Inc
HALL;HALL UQ Equity;Hallmark Financial Services Inc
RDI;RDI UR Equity;Reading International Inc
ORC;ORC UN Equity;Orchid Island Capital Inc
TCF;TCF UW Equity;TCF Financial Corp
APEX;APEX UW Equity;Apex Global Brands Inc
CPK;CPK UN Equity;Chesapeake Utilities Corp
CIA;CIA UN Equity;Citizens Inc/TX
PICO;PICO UW Equity;PICO Holdings Inc
HIFR;HIFR UN Equity;InfraREIT Inc
MGLN;MGLN UW Equity;Magellan Health Inc
SHAK;SHAK UN Equity;Shake Shack Inc
WDR;WDR UN Equity;Waddell & Reed Financial Inc
TTOO;TTOO UQ Equity;T2 Biosystems Inc
FSB;FSB UN Equity;Franklin Financial Network Inc
CSS;CSS UN Equity;CSS Industries Inc
PFSI;PFSI UN Equity;PennyMac Financial Services Inc
CTO;CTO UA Equity;CTO Realty Growth Inc
BEAT;BEAT UW Equity;BioTelemetry Inc
CTWS;CTWS UW Equity;Connecticut Water Service Inc
CULP;CULP UN Equity;Culp Inc
CVBF;CVBF UW Equity;CVB Financial Corp
BLD;BLD UN Equity;TopBuild Corp
1811045D;1811045D UW Equity;Blue Buffalo Pet Products Inc
CVCO;CVCO UW Equity;Cavco Industries Inc
ENR;ENR UN Equity;Energizer Holdings Inc
CC;CC UN Equity;Chemours Co/The
HZN;HZN UN Equity;Horizon Global Corp
CABO;CABO UN Equity;Cable One Inc
LBRDK;LBRDK UW Equity;Liberty Broadband Corp
LBRDA;LBRDA UW Equity;Liberty Broadband Corp
RXN;RXN UN Equity;Rexnord Corp
CWT;CWT UN Equity;California Water Service Group
HMTV;HMTV UQ Equity;Hemisphere Media Group Inc
CYTR;CYTR UR Equity;CytRx Corp
DCO;DCO UN Equity;Ducommun Inc
RYI;RYI UN Equity;Ryerson Holding Corp
DXLG;DXLG UW Equity;Destination XL Group Inc
SQBG;SQBG UR Equity;Sequential Brands Group Inc
CVA;CVA UN Equity;Covanta Holding Corp
ABBV;ABBV UN Equity;AbbVie Inc
PPC;PPC UW Equity;Pilgrim's Pride Corp
